id,title,main_reference_number,department_title,artist_title,classification_titles
66683,"Rodin, Le Penseur",1949.825,Photography and Media,Edward Steichen,
68823,Woodman (Waldarbeiter),1987.14,Contemporary Art,Georg Baselitz,
70202,Self-Portrait,1987.280,Prints and Drawings,Lovis Corinth,
70443,Cravat End,1987.334,Textiles,,
70739,Washbowl,1987.377,Photography and Media,Edward Weston,
71396,Hang Up,1988.130,Contemporary Art,Eva Hesse,
72726,Portrait of Otto Mueller,1988.433,Prints and Drawings,Ernst Ludwig Kirchner,
72728,Untitled,1988.434a-b,Modern Art,Yves Tanguy,
73417,The Beginning,1989.2,Contemporary Art,Barnett Newman,
76054,Watchtower with Geese (Hochsitz mit Gänsen),1990.81,Contemporary Art,Sigmar Polke,
76244,Excavation,1952.1,Contemporary Art,Willem de Kooning,
76295,Self-Portrait in a Fur Cap,1990.141,Prints and Drawings,Joseph Wright of Derby,
76395,Flower Clouds,1990.165,Prints and Drawings,Odilon Redon,
76779,Crouching Woman,1990.226,Prints and Drawings,Eugène Delacroix,
79307,Bathers by a River,1953.158,Modern Art,Henri Matisse,
79379,Tanktotem I,1953.193,Contemporary Art,David Smith,
79600,The Railway Crossing (Sketch),1953.341,Modern Art,Fernand Léger,
80062,Edtaonisl (Ecclesiastic),1953.622,Modern Art,Francis Picabia,
80479,"Winter, from The Seasons",1954.261,Textiles,Charles Le Brun,
83642,Greyed Rainbow,1955.494,Contemporary Art,Jackson Pollock,
83889,Two Women's Torsos,1955.637,Prints and Drawings,Willem de Kooning,
84241,Self-Portrait,1955.822,Modern Art,Max Beckmann,
85533,Feathered Tunic,1955.1789,Textiles,Chimú,
86385,City Landscape,1958.193,Contemporary Art,Joan Mitchell,
86421,Panel (Furnishing Fabric),1924.499,Textiles,Jean Baptiste Huet,
87045,Still Life with Geranium,1932.1342,Modern Art,Henri Matisse,
87163,"Fourth of July, Jay, New York",1961.942,Photography and Media,Robert Frank,
89403,Untitled #12,1979.356,Contemporary Art,Agnes Martin,
90300,Perilous Night,1989.82,Prints and Drawings,Jasper Johns,
90443,Lever #1,1989.385a-b,Contemporary Art,Martin Puryear,
90536,Seated Female Nude,1953.38,Prints and Drawings,Rembrandt van Rijn,
90583,Couple in Bed,1989.435,Contemporary Art,Philip Guston,
91194,Golden Bird,1990.88,Modern Art,Constantin Brancusi,
93345,Chalk-Mirror Displacement,1987.277,Contemporary Art,Robert Smithson,
97402,Minnie,1982.397,Contemporary Art,Ed Paschke,
99602,Fragment (Hanging),1982.1578,Textiles,Coptic,
99766,Untitled (Butterfly Habitat),1982.1845,Modern Art,Joseph Cornell,
100079,Untitled,1983.55,Photography and Media,"Brassaï, (Gyula Halász)",
100089,Chicago,1983.65,Photography and Media,Harry Callahan,
100250,Interrogation II,1983.264,Contemporary Art,Leon Golub,
100472,"Untitled (Purple, White, and Red)",1983.509,Contemporary Art,Mark Rothko,
102131,Self-Portrait with a Visor,1984.61,Prints and Drawings,Jean Baptiste Siméon Chardin,
102234,American Collectors (Fred and Marcia Weisman),1984.182,Contemporary Art,David Hockney,
103887,A Young Lady with a Parrot,1985.40,Prints and Drawings,Rosalba Carriera,
105073,The Creation of Adam,1985.1113,Prints and Drawings,Giovanni Benedetto Castiglione,
107069,TAKEN FROM HERE TO WHERE IT CAME FROM AND TAKEN TO A PLACE AND USED IN SUCH A MANNER THAT IT CAN ONLY REMAIN AS A REPRESENTATION OF WHAT IT WAS WHERE IT CAME FROM,1982.402,Contemporary Art,Lawrence Weiner,
109275,Mother and Child,1954.270,Modern Art,Pablo Picasso,
109330,Little Harbor in Normandy,1970.98,Modern Art,Georges Braque,
109439,America Windows,1977.938,Modern Art,Marc Chagall,
109686,Waters Above the Firmament,1983.203,Textiles,Lenore Tawney,
109819,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",1957.307,Modern Art,Piet Mondrian,
110881,The Road to Calvary,1958.299,Prints and Drawings,Master of the Housebook,
111060,Daniel-Henry Kahnweiler,1948.561,Modern Art,Pablo Picasso,
111164,Green and Blue: The Dancer,1988.219,Prints and Drawings,James McNeill Whistler,
111642,The Awakening of the Forest,1991.290,Modern Art,Paul Delvaux,
111654,The Policeman,1991.1499,Modern Art,Joan Miró,
111810,Harvest Talk,1991.126,Prints and Drawings,Charles White,
117188,The Earth Is a Man,1992.168,Modern Art,Matta,
117271,"Art Institute of Chicago II, Chicago",1991.28,Contemporary Art,Thomas Struth,
118661,Juan Soriano De Lacandón,2018.285,Modern Art,Leonora Carrington,
118746,Interrelation of Volumes from the Ellipsoid,2004.245,Modern Art,Georges Vantongerloo,
119454,Untitled,1992.100,Photography and Media,El Lissitzky,
119521,Landscape at L'Estaque,1981.65,Modern Art,Georges Braque,
122054,Alka Seltzer,1993.176,Prints and Drawings,Roy Lichtenstein,
129884,Starry Night and the Astronauts,1994.36,Contemporary Art,Alma Thomas,
131385,Black and White,1994.245,Prints and Drawings,Lee Krasner,
135430,Weeping Woman I,1994.707,Prints and Drawings,Pablo Picasso,
137125,Many Mansions,1995.147,Contemporary Art,Kerry James Marshall,
140645,Night Sky #2,1995.240,Contemporary Art,Vija Celmins,
144361,Earthly Paradise,1996.47,Modern Art,Pierre Bonnard,
145681,Frederick Douglass,1996.433,Photography and Media,Samuel J. Miller,
146905,Explosion at Sea,1997.138,Contemporary Art,Vija Celmins,
146988,Rodeo,1997.160,Contemporary Art,Brice Marden,
146989,Clown Torture,1997.162,Contemporary Art,Bruce Nauman,
146991,PH-774,1997.164,Contemporary Art,Clyfford Still,
147003,Woman Descending the Staircase (Frau die Treppe herabgehend),1997.176,Contemporary Art,Gerhard Richter,
147513,Human Nature/Life Death,2004.151a-b,Contemporary Art,Bruce Nauman,
149681,Fragment (Dress Fabric),1998.3,Textiles,,
150739,Furisode,1991.637,Textiles,,
151424,Inventions of the Monsters,1943.798,Modern Art,Salvador Dalí,
153701,Reclining Woman,1999.369,Modern Art,Fernand Léger,
154232,Monk (Mönch),2000.49,Contemporary Art,Katharina Fritsch,
155969,Talismanic Textile,2000.326,Textiles,,
157056,Mrs. Herbert Duckworth,2001.59,Photography and Media,Julia Margaret Cameron,
157156,Red Yellow Blue White and Black II,2001.157,Contemporary Art,Ellsworth Kelly,
157160,The Flooded Grave,2001.161,Contemporary Art,Jeff Wall,
159824,"""Untitled""",2002.80,Contemporary Art,Felix Gonzalez-Torres,
160144,The Sick Child I,2003.1,Prints and Drawings,Edvard Munch,
160201,"Candida and Her Mother, Celia, II",2002.554a-f,Photography and Media,Dawoud Bey,
160222,Albino,2002.597,Contemporary Art,Marlene Dumas,
160226,Gasthof zur Muldentalsperre,2003.433,Contemporary Art,Peter Doig,
180298,Ceremonial Hanging (palepai),2002.914,Textiles,Paminggir,
181091,Caribs' Leap/Western Deep,2003.86,Contemporary Art,Steve McQueen,
181774,Oonagh MacCumhail: The Case of the Entered Novitiate,2003.180,Contemporary Art,Matthew Barney,
182728,Urns (Set of 8),2004.247.a-h,Contemporary Art,Thomas Schütte,
184095,Near the Lagoon,2004.146,Contemporary Art,Jasper Johns,
184186,The Long Road to Mazatlán,2007.41,Contemporary Art,Isaac Julien,
184193,Delphine,2005.93,Contemporary Art,Diana Thater,
184362,Mirror #3 (Six Panels),2005.18,Contemporary Art,Roy Lichtenstein,
185184,Venus de Milo with Drawers,2005.424,Modern Art,Salvador Dalí,
185619,Woman's Robe,2005.606,Textiles,,
185760,Forest and Sun,2007.276,Modern Art,Max Ernst,
185766,Festival in Montmartre,2007.281,Modern Art,Gino Severini,
186049,The First Part of the Return from Parnassus,2007.63,Contemporary Art,Cy Twombly,
187155,The Ballad of Sexual Dependency,2006.158,Photography and Media,Nan Goldin,
187165,Monogram,2006.170,Contemporary Art,Louise Lawler,
188844,"Near Jackson, Mississippi",2006.326,Photography and Media,William Eggleston,
189207,Hinoki,2007.771a-e,Contemporary Art,Charles Ray,
189600,Fragment,2007.17,Textiles,,
189775,"The Emperor Sailing, from The Story of the Emperor of China",2007.22,Textiles,Guy-Louis Vernansal,
189807,Object,2007.30,Modern Art,Claude Cahun,
191371,Untitled,2008.11,Contemporary Art,Donald Judd,
191454,"Dead Fish, Salton Sea, from the series ""Desert Cantos III: The Flood""",2007.225,Photography and Media,Richard Misrach,
192689,Untitled,2008.174,Contemporary Art,Robert Gober,
199002,In Memory of My Father,2009.52,Contemporary Art,Sylvia Plimack Mangold,
207293,Painterly Realism of a Football Player—Color Masses in the 4th Dimension,2011.1,Modern Art,Kasimir Malevich,
218612,Khee II,2013.123,Contemporary Art,Jack Whitten,
220179,Object with Number 1,2013.1095,Modern Art,Joaquín Torres Garcia,
220272,Golden Wings Brushing the Clouds Incarnated from Earthly Wide Star (Chikatsusei Maunkinshi),2013.1092,Contemporary Art,Shiraga Kazuo,
221885,We Must Bear,2014.636,Contemporary Art,Nilima Sheikh,
223309,Untitled,2014.635,Contemporary Art,Saitō Yoshishige,
225016,A Siren Beside a Ship,2016.336,Contemporary Art,Mark Bradford,
227420,Male-Female Figure with Pomegranate,2015.84,Contemporary Art,Ibrahim El-Salahi,
229351,Target,2015.119,Contemporary Art,Jasper Johns,
229354,Untitled,2015.122,Contemporary Art,Robert Rauschenberg,
229393,Untitled,2015.176,Contemporary Art,Tanaka Atsuko,
229406,Liz #3 [Early Colored Liz],2015.160,Contemporary Art,Andy Warhol,
229510,AC10,2015.178a-b,Contemporary Art,Wei Zhang,
229866,Finnish Painting,2015.477,Contemporary Art,Pope.L,
234004,Untitled 72–12–A,2016.62,Contemporary Art,"Chung, Sang-Hwa",
234433,Involvement Series,2016.66,Contemporary Art,Wanda Pimentel,
234972,Small Town by Day (Badische Kleinstadt bei Tage),2016.46,Modern Art,Georg Scholz,
238749,Bottle Rack (Porte-Bouteilles),2017.422,Modern Art,Marcel Duchamp,
37900,Study for Mary Lousie Reynolds Collection Label,,Prints and Drawings,,"['pen and ink drawings', 'drawings (visual works)', 'prints and drawing']"
81003,Adoration of the Shepherds,,Prints and Drawings,,"['pen and ink drawings', 'manuscript', 'drawings (visual works)', 'prints and drawing']"
48883,The Crouched Ones (Los agachados),,Photography and Media,,"['gelatin silver (developing-out-paper) pr', 'photographic process', 'photography', 'photograph']"
34722,Mary Reynolds,,Photography and Media,,"['platinum print', 'photographic process', 'photography', 'photograph']"
14700,Still Life: Apples and Green Glass,,Prints and Drawings,,"['watercolor', 'drawings (visual works)', 'prints and drawing']"
117742,Feeding the Ducks,,Prints and Drawings,,"['aquatint', 'print', 'prints and drawing']"
261375,Three Eagles Flying,,Photography and Media,,"['photography', 'photograph', 'photographic process', 'black-and-white photography', '21st Century']"
180262,"Untitled, from the series ""Sur la Route: Huit Photographies Prises Entre Paris et Marseille ou Entre Paris et Biarritz""",,Photography and Media,,"['gelatin silver (developing-out-paper) pr', 'photograph', 'photography']"
271683,Untitled,,Contemporary Art,,['painting']
264664,Entorno Quieto 5 (Stillness 5),,Textiles,,['fiber art']
196148,Wall Drawing #118: 50 randomly placed points connected by straight lines,,Contemporary Art,,"['drawing', 'prints and drawing', 'paper', 'graphite']"
